case_id,category,url,expected_label,equivalence_group,exact_url_seen_in_dataset,registered_domain,registered_domain_seen_in_train,registered_domain_seen_in_validation,registered_domain_seen_in_test,normalized_url,prediction,probability,cnn_probability,lightgbm_probability,model_version,result
good-google,known_good,https://www.google.com/,LEGITIMATE,google-root,NO,google.com,YES,NO,NO,https://www.google.com,LEGITIMATE,0.0057766883250038115,0.0052039195657511035,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
good-bing,known_good,https://www.bing.com/,LEGITIMATE,,NO,bing.com,NO,YES,NO,https://www.bing.com,LEGITIMATE,0.0034625056644271126,0.002827148775781511,0.015534286548693549,url-ensemble-original-onnx-1.0,PASS
good-duckduckgo,known_good,https://duckduckgo.com/,LEGITIMATE,,NO,duckduckgo.com,NO,NO,NO,https://duckduckgo.com,LEGITIMATE,0.0007356942733631638,1.0106754911373616e-05,0.014521857123947175,url-ensemble-original-onnx-1.0,PASS
good-github,known_good,https://github.com/,LEGITIMATE,github-root,NO,github.com,NO,NO,NO,https://github.com,LEGITIMATE,0.0007306479157687992,3.2494856885193376e-06,0.014551218087294114,url-ensemble-original-onnx-1.0,PASS
good-stackoverflow,known_good,https://stackoverflow.com/,LEGITIMATE,,NO,stackoverflow.com,NO,NO,NO,https://stackoverflow.com,LEGITIMATE,0.0007644731237775691,4.771125849839788e-05,0.014382948564081822,url-ensemble-original-onnx-1.0,PASS
good-vercel,known_good,https://vercel.com/,LEGITIMATE,,NO,vercel.com,NO,NO,NO,https://vercel.com,LEGITIMATE,0.0007290137129682534,7.78948721003803e-06,0.014432274002374344,url-ensemble-original-onnx-1.0,PASS
good-python,known_good,https://www.python.org/,LEGITIMATE,,NO,python.org,NO,NO,NO,https://www.python.org,LEGITIMATE,0.0033413693408743373,0.002625810600649587,0.016936985405144593,url-ensemble-original-onnx-1.0,PASS
good-nodejs,known_good,https://nodejs.org/,LEGITIMATE,,NO,nodejs.org,NO,NO,NO,https://nodejs.org,LEGITIMATE,0.0007721421021276811,5.235626530677364e-05,0.01444807300172492,url-ensemble-original-onnx-1.0,PASS
good-npm,known_good,https://www.npmjs.com/,LEGITIMATE,,NO,npmjs.com,YES,NO,NO,https://www.npmjs.com,LEGITIMATE,0.18002402826227576,0.18865367406810485,0.016060757951523452,url-ensemble-original-onnx-1.0,PASS
good-rust,known_good,https://www.rust-lang.org/,LEGITIMATE,,NO,rust-lang.org,YES,NO,NO,https://www.rust-lang.org,LEGITIMATE,0.010446903100435393,0.005705428375885745,0.10053492286687873,url-ensemble-original-onnx-1.0,PASS
good-wikipedia,known_good,https://www.wikipedia.org/,LEGITIMATE,wikipedia-root,NO,wikipedia.org,NO,NO,NO,https://www.wikipedia.org,LEGITIMATE,0.04585030202638212,0.04699493565952379,0.024102262996690393,url-ensemble-original-onnx-1.0,PASS
good-microsoft,known_good,https://www.microsoft.com/,LEGITIMATE,microsoft-root,NO,microsoft.com,NO,NO,NO,https://www.microsoft.com,LEGITIMATE,0.031858187910427126,0.027653430334443348,0.11174858185411887,url-ensemble-original-onnx-1.0,PASS
good-apple,known_good,https://www.apple.com/,LEGITIMATE,,NO,apple.com,NO,NO,NO,https://www.apple.com,LEGITIMATE,0.2744963106088034,0.2881727397350757,0.014644157209630693,url-ensemble-original-onnx-1.0,PASS
good-openai,known_good,https://openai.com/,LEGITIMATE,openai-root,NO,openai.com,NO,NO,NO,https://openai.com,LEGITIMATE,0.000730011823686938,1.9236238638688283e-06,0.01456368762032525,url-ensemble-original-onnx-1.0,PASS
good-cloudflare,known_good,https://www.cloudflare.com/,LEGITIMATE,,NO,cloudflare.com,YES,NO,NO,https://www.cloudflare.com,LEGITIMATE,0.062466422355286384,0.053004171013929326,0.24224919784107057,url-ensemble-original-onnx-1.0,PASS
good-mozilla,known_good,https://www.mozilla.org/,LEGITIMATE,,NO,mozilla.org,NO,NO,NO,https://www.mozilla.org,LEGITIMATE,0.03690258777752435,0.03592558165804141,0.05546570404770016,url-ensemble-original-onnx-1.0,PASS
good-amazon,known_good,https://www.amazon.com/,LEGITIMATE,,NO,amazon.com,NO,NO,NO,https://www.amazon.com,LEGITIMATE,0.010616569735007655,0.010298531576281465,0.016659294750805267,url-ensemble-original-onnx-1.0,PASS
good-ebay,known_good,https://www.ebay.com/,LEGITIMATE,,NO,ebay.com,NO,NO,NO,https://www.ebay.com,LEGITIMATE,0.10246678495326872,0.10709234427060002,0.01458115792397415,url-ensemble-original-onnx-1.0,PASS
good-paypal,known_good,https://www.paypal.com/,LEGITIMATE,,NO,paypal.com,YES,NO,NO,https://www.paypal.com,PHISHING,0.5753227065089526,0.6045509335869784,0.019986392026460104,url-ensemble-original-onnx-1.0,FAIL
good-netflix,known_good,https://www.netflix.com/,LEGITIMATE,,NO,netflix.com,NO,NO,YES,https://www.netflix.com,LEGITIMATE,0.02258046924877603,0.01983402246887329,0.07476295806692812,url-ensemble-original-onnx-1.0,PASS
good-spotify,known_good,https://www.spotify.com/,LEGITIMATE,,NO,spotify.com,NO,NO,NO,https://www.spotify.com,LEGITIMATE,0.006844807864890277,0.002475016546119732,0.08987084292153062,url-ensemble-original-onnx-1.0,PASS
good-linkedin,known_good,https://www.linkedin.com/,LEGITIMATE,,NO,linkedin.com,NO,NO,NO,https://www.linkedin.com,LEGITIMATE,0.004891603807490248,0.0041042011695550445,0.01985225392825912,url-ensemble-original-onnx-1.0,PASS
good-adobe,known_good,https://www.adobe.com/,LEGITIMATE,,NO,adobe.com,YES,NO,NO,https://www.adobe.com,LEGITIMATE,0.41995276903565,0.4412919734571139,0.014507885027835992,url-ensemble-original-onnx-1.0,PASS
