case_id,category,url,local_normalized_url,deployed_normalized_url,local_prediction,deployed_prediction,local_probability,deployed_probability,http_status,match
good-google,known_good,https://www.google.com/,https://www.google.com,https://www.google.com,LEGITIMATE,LEGITIMATE,0.0057766883250038115,0.0057766878755253805,200,YES
good-bing,known_good,https://www.bing.com/,https://www.bing.com,https://www.bing.com,LEGITIMATE,LEGITIMATE,0.0034625056644271126,0.0034625056644271126,200,YES
good-duckduckgo,known_good,https://duckduckgo.com/,https://duckduckgo.com,https://duckduckgo.com,LEGITIMATE,LEGITIMATE,0.0007356942733631638,0.0007356938807025129,200,YES
good-github,known_good,https://github.com/,https://github.com,https://github.com,LEGITIMATE,LEGITIMATE,0.0007306479157687992,0.0007306471288833527,200,YES
good-stackoverflow,known_good,https://stackoverflow.com/,https://stackoverflow.com,https://stackoverflow.com,LEGITIMATE,LEGITIMATE,0.0007644731237775691,0.0007644735127372572,200,YES
good-vercel,known_good,https://vercel.com/,https://vercel.com,https://vercel.com,LEGITIMATE,LEGITIMATE,0.0007290137129682534,0.0007290133226943924,200,YES
good-python,known_good,https://www.python.org/,https://www.python.org,https://www.python.org,LEGITIMATE,LEGITIMATE,0.0033413693408743373,0.003341368884032681,200,YES
good-nodejs,known_good,https://nodejs.org/,https://nodejs.org,https://nodejs.org,LEGITIMATE,LEGITIMATE,0.0007721421021276811,0.0007721417114328504,200,YES
good-npm,known_good,https://www.npmjs.com/,https://www.npmjs.com,https://www.npmjs.com,LEGITIMATE,LEGITIMATE,0.18002402826227576,0.1800240278286825,200,YES
good-rust,known_good,https://www.rust-lang.org/,https://www.rust-lang.org,https://www.rust-lang.org,LEGITIMATE,LEGITIMATE,0.010446903100435393,0.01044690185987031,200,YES
good-wikipedia,known_good,https://www.wikipedia.org/,https://www.wikipedia.org,https://www.wikipedia.org,LEGITIMATE,LEGITIMATE,0.04585030202638212,0.045850302671754814,200,YES
good-microsoft,known_good,https://www.microsoft.com/,https://www.microsoft.com,https://www.microsoft.com,LEGITIMATE,LEGITIMATE,0.031858187910427126,0.03185819199566801,200,YES
good-apple,known_good,https://www.apple.com/,https://www.apple.com,https://www.apple.com,LEGITIMATE,LEGITIMATE,0.2744963106088034,0.2744963106088034,200,YES
good-openai,known_good,https://openai.com/,https://openai.com,https://openai.com,LEGITIMATE,LEGITIMATE,0.000730011823686938,0.000730011823686938,200,YES
good-cloudflare,known_good,https://www.cloudflare.com/,https://www.cloudflare.com,https://www.cloudflare.com,LEGITIMATE,LEGITIMATE,0.062466422355286384,0.062466422355286384,200,YES
good-mozilla,known_good,https://www.mozilla.org/,https://www.mozilla.org,https://www.mozilla.org,LEGITIMATE,LEGITIMATE,0.03690258777752435,0.03690258777752435,200,YES
good-amazon,known_good,https://www.amazon.com/,https://www.amazon.com,https://www.amazon.com,LEGITIMATE,LEGITIMATE,0.010616569735007655,0.010616569285529225,200,YES
